,label,views
234,0.1303030303030303,348
149,0.9151515151515152,1898
214,0.3696969696969697,597
99,0.34545454545454546,580
132,0.7090909090909091,888
88,0.9030303030303031,1555
189,0.6363636363636364,812
82,0.38181818181818183,608
170,0.7515151515151515,1014
203,0.37575757575757573,602
193,0.23030303030303031,449
30,0.9878787878787879,4421
161,0.6,787
176,0.8878787878787879,1517
28,0.22424242424242424,448
231,0.6545454545454545,823
213,0.10303030303030303,315
129,0.8545454545454545,1348
222,0.9636363636363636,3098
47,0.8181818181818182,1209
94,0.7696969696969697,1052
78,0.7636363636363637,1046
158,0.44242424242424244,648
70,0.43636363636363634,647
112,0.16363636363636364,390
2,0.6181818181818182,807
27,0.23636363636363636,454
127,0.8,1131
63,0.9575757575757575,2556
109,0.296969696969697,537
227,0.24242424242424243,457
174,0.8878787878787879,1517
80,0.593939393939394,778
191,0.6424242424242425,818
217,0.48787878787878786,674
71,0.6909090909090909,866
229,0.396969696969697,617
5,0.8727272727272727,1429
221,0.03636363636363636,212
166,0.14545454545454545,371
110,0.396969696969697,617
134,0.7818181818181819,1093
49,0.42424242424242425,638
83,0.1393939393939394,352
137,0.28484848484848485,525
32,0.9757575757575757,3159
92,0.7363636363636363,925
57,0.696969696969697,867
23,0.703030303030303,885
115,0.6727272727272727,845
136,0.3878787878787879,611
218,0.9212121212121213,1909
64,1.0,13000
230,0.6848484848484848,865
85,0.5515151515151515,742
202,0.32727272727272727,562
7,0.6606060606060606,834
204,0.2606060606060606,480
168,0.8787878787878788,1444
74,0.9454545454545454,2156
216,0.48787878787878786,674
167,0.030303030303030304,201
89,0.8121212121212121,1179
33,0.793939393939394,1115
15,0.5818181818181818,768
139,0.2787878787878788,521
122,0.7151515151515152,898
55,0.4303030303030303,644
138,0.503030303030303,675
21,0.8666666666666667,1409
103,0.4121212121212121,629
79,0.7575757575757576,1029
117,0.15151515151515152,380
207,0.4484848484848485,658
65,0.19090909090909092,398
196,0.1303030303030303,348
108,0.24848484848484848,462
147,0.9090909090909091,1667
131,0.806060606060606,1154
113,0.3333333333333333,563
19,0.3212121212121212,560
17,0.06060606060606061,249
13,0.21818181818181817,424
150,0.9393939393939394,2147
9,0.5696969696969697,762
172,0.09696969696969697,311
48,0.46060606060606063,670
93,0.8242424242424242,1211
198,0.2545454545454545,476
157,0.024242424242424242,182
188,0.17272727272727273,392
51,0.2,402
45,0.8606060606060606,1369
25,0.3515151515151515,586
226,0.7878787878787878,1109
185,0.3090909090909091,554
171,0.04242424242424243,229
77,0.26666666666666666,481
91,0.5454545454545454,740
76,0.5333333333333333,730
1,0.5212121212121212,711
44,0.8363636363636363,1252
192,0.40606060606060607,618
190,0.509090909090909,676
29,0.6484848484848484,819
39,0.7454545454545455,998
140,0.41818181818181815,630
235,0.7272727272727273,917
119,0.48787878787878786,674
60,0.5636363636363636,750
118,0.36363636363636365,593
11,0.3575757575757576,587
105,0.5575757575757576,745
73,0.9272727272727272,1944
153,0.3393939393939394,567
135,0.7363636363636363,925
209,0.20606060606060606,409
97,0.4727272727272727,673
233,0.3151515151515151,559
228,0.6666666666666666,836
220,0.07272727272727272,286
26,0.9696969696969697,3112
46,0.45454545454545453,666
3,0.6060606060606061,793
66,0.9939393939393939,6487
215,0.06666666666666667,262
38,0.7212121212121212,902
178,0.00909090909090909,122
154,0.17272727272727273,392
72,0.5272727272727272,714
54,0.18181818181818182,397
162,0.6121212121212121,799
43,0.6787878787878788,849
151,0.9818181818181818,3538
187,0.2727272727272727,488
197,0.11515151515151516,330
208,0.01818181818181818,137
152,0.15757575757575756,384
114,0.12121212121212122,344
8,0.6272727272727273,811
179,0.8303030303030303,1214
104,0.896969696969697,1528
84,0.5393939393939394,734
81,0.19090909090909092,398
18,0.8424242424242424,1274
124,0.8484848484848485,1322
223,0.048484848484848485,240
181,0.4666666666666667,671
120,0.2909090909090909,527
175,0.00909090909090909,122
22,0.9515151515151515,2377
52,0.5878787878787879,773
50,0.10909090909090909,316
35,0.7757575757575758,1084
12,0.21212121212121213,421
102,0.6272727272727273,811
142,0.05454545454545454,242
4,0.5151515151515151,689
101,0.09090909090909091,310
133,0.48787878787878786,674
177,0.07878787878787878,289
156,0.30303030303030304,549
111,0.5757575757575758,766
67,0.9333333333333333,2051
98,0.08484848484848485,299
