n_estimators,learning_rate,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
25.0,0.1,0.527006,0.073476,-0.031167,0.198529,0.289888,0.278176,,,,0.04,42.0,0.0
25.0,0.0001,0.528874,-0.033589,-0.024851,0.198137,0.306179,0.277323,,,,0.04,42.0,1.0
800.0,0.0001,0.542995,0.027895,0.033537,0.195145,0.296933,0.269308,,,,1.25,42.0,2.0
800.0,100.0,-2.927891,-3.010138,-4.08983,0.572105,0.603089,0.618027,,,,0.41,42.0,3.0
25.0,100.0,-2.272314,-2.386786,-3.252572,0.522184,0.554238,0.564913,,,,0.01,42.0,4.0
800.0,0.1,0.747822,0.060005,0.074247,0.144961,0.291988,0.263574,,,,1.16,42.0,5.0
200.0,0.1,0.688153,0.091757,0.081987,0.161201,0.287014,0.26247,,,,0.3,42.0,6.0
100.0,0.1,0.64467,0.103847,0.026442,0.172073,0.285097,0.270294,,,,0.16,42.0,7.0
400.0,0.1,0.723577,0.090529,0.082836,0.151769,0.287208,0.262349,,,,0.59,42.0,8.0
200.0,0.01,0.544019,0.03961,0.034855,0.194926,0.295139,0.269124,,,,0.32,42.0,9.0
200.0,1.0,0.789036,0.013302,0.032009,0.132587,0.299154,0.26952,,,,0.28,42.0,10.0
50.0,0.1,0.600916,0.117914,-0.01383,0.182359,0.282851,0.275828,,,,0.08,42.0,11.0
100.0,0.01,0.521378,0.052073,0.045103,0.199707,0.293217,0.267691,,,,0.16,42.0,12.0
100.0,1.0,0.773579,0.045301,0.013864,0.137358,0.294263,0.272035,,,,0.14,42.0,13.0
400.0,0.01,0.582788,0.046764,0.047552,0.186455,0.294037,0.267348,,,,0.61,42.0,14.0
400.0,1.0,0.794327,0.010156,0.042412,0.130914,0.29963,0.268068,,,,0.54,42.0,15.0
50.0,0.01,0.536039,0.06457,0.06224,0.196624,0.291278,0.265278,,,,0.08,42.0,16.0
50.0,1.0,0.747034,-0.001658,-0.013315,0.145187,0.301413,0.275758,,,,0.07,42.0,17.0
400.0,0.0001,0.537429,0.021877,0.055725,0.196329,0.297851,0.266198,,,,0.61,42.0,18.0
800.0,0.001,0.555331,0.032742,0.051644,0.192493,0.296192,0.266773,,,,1.23,42.0,19.0
400.0,0.001,0.547221,0.022012,0.059584,0.19424,0.29783,0.265654,,,,0.61,42.0,20.0
800.0,0.01,0.634934,0.071313,0.053304,0.174414,0.290226,0.266539,,,,1.21,42.0,21.0
800.0,1.0,0.792814,0.042762,0.047068,0.131394,0.294654,0.267416,,,,1.08,42.0,22.0
25.0,0.01,0.526305,0.051945,0.01703,0.198676,0.293237,0.271598,,,,0.04,42.0,23.0
25.0,1.0,0.688913,0.079405,0.029032,0.161004,0.288959,0.269934,,,,0.04,42.0,24.0
25.0,10.0,-1.544267,-1.574231,-2.984391,0.460445,0.483199,0.54681,,,,0.02,42.0,25.0
