n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,Precedence
25.0,16.0,1.0,0.4,256.0,1.0,1.0,0.999992,-0.001566,-0.184709,0.000834,0.301399,0.298168,,,,51.76,19260817.0,False,0.0
25.0,16.0,1.0,0.4,256.0,0.01,0.001,0.046144,-0.006225,-0.045577,0.281928,0.302099,0.280113,,,,61.8,19260817.0,False,1.0
25.0,2.0,1.0,1.0,64.0,0.01,1.0,0.955404,-0.305654,-0.467146,0.06096,0.344125,0.331812,,,,0.07,19260817.0,False,2.0
25.0,2.0,1.0,0.4,256.0,0.01,1.0,0.939552,-0.190666,-0.422227,0.070972,0.328622,0.326693,,,,0.05,19260817.0,False,3.0
200.0,2.0,0.4,1.0,64.0,0.01,1.0,0.999975,-0.124407,-0.453682,0.00143,0.319348,0.330286,,,,0.58,19260817.0,False,4.0
200.0,2.0,0.4,1.0,64.0,1.0,1.0,0.999979,-0.182561,-0.713313,0.001319,0.327502,0.35857,,,,0.8,19260817.0,False,5.0
25.0,2.0,0.4,1.0,64.0,0.01,1.0,0.856392,-0.14821,-0.47168,0.109392,0.32271,0.332325,,,,0.08,19260817.0,False,6.0
25.0,2.0,1.0,0.4,256.0,1.0,1.0,0.930261,-0.385119,-0.336709,0.076232,0.354442,0.316719,,,,0.07,19260817.0,False,7.0
200.0,2.0,1.0,1.0,64.0,0.01,0.001,0.036712,-0.005886,-0.041403,0.283318,0.302048,0.279554,,,,0.34,19260817.0,False,8.0
25.0,16.0,0.4,1.0,256.0,1.0,0.001,0.023877,-0.007451,-0.047156,0.285199,0.302283,0.280325,,,,165.78,19260817.0,False,9.0
200.0,16.0,0.4,0.4,64.0,0.01,1.0,0.999992,-0.420075,-0.248101,0.000834,0.358887,0.306042,,,,281.26,19260817.0,False,10.0
25.0,16.0,1.0,0.4,64.0,1.0,0.001,0.024519,-0.006748,-0.046682,0.285105,0.302178,0.280261,,,,81.75,19260817.0,False,11.0
25.0,2.0,1.0,0.4,64.0,0.01,1.0,0.923154,-0.365251,0.023493,0.080022,0.351891,0.270703,,,,0.17,19260817.0,False,12.0
200.0,2.0,0.4,0.4,256.0,1.0,0.001,0.024666,-0.005123,-0.043296,0.285084,0.301934,0.279808,,,,1.6,19260817.0,False,13.0
25.0,16.0,0.4,0.4,64.0,0.01,1.0,0.999992,-0.420075,-0.248101,0.000834,0.358887,0.306042,,,,70.49,19260817.0,False,14.0
200.0,16.0,1.0,1.0,64.0,0.01,0.001,0.308355,0.012815,-0.040084,0.24007,0.299227,0.279377,,,,858.22,19260817.0,False,15.0
200.0,2.0,1.0,0.4,256.0,0.01,0.001,0.035342,-0.009114,-0.044604,0.28352,0.302533,0.279983,,,,0.42,19260817.0,False,16.0
200.0,2.0,1.0,0.4,256.0,1.0,1.0,0.999992,-0.325086,-0.296617,0.000835,0.346676,0.311933,,,,0.88,19260817.0,False,17.0
25.0,16.0,0.4,1.0,64.0,1.0,1.0,0.999992,0.261044,0.164273,0.000834,0.258888,0.250431,,,,62.57,19260817.0,False,18.0
200.0,16.0,0.4,1.0,256.0,1.0,0.001,0.174824,0.004033,-0.041039,0.262222,0.300555,0.279505,,,,2460.62,19260817.0,False,19.0
25.0,16.0,1.0,1.0,64.0,1.0,0.001,0.024726,-0.007914,-0.04717,0.285075,0.302353,0.280327,,,,55.16,19260817.0,False,20.0
200.0,2.0,1.0,1.0,256.0,1.0,1.0,0.999992,-0.699403,-0.316521,0.000834,0.3926,0.314318,,,,0.53,19260817.0,False,21.0
25.0,16.0,0.4,0.4,64.0,1.0,1.0,0.999992,-0.062625,-0.161764,0.000834,0.31045,0.295267,,,,31.0,19260817.0,False,22.0
200.0,16.0,0.4,0.4,256.0,0.01,1.0,0.999992,-0.538456,0.16958,0.000834,0.373546,0.249635,,,,420.23,19260817.0,False,23.0
200.0,16.0,1.0,0.4,64.0,1.0,0.001,0.178305,0.004993,-0.039154,0.261669,0.30041,0.279252,,,,166.88,19260817.0,False,24.0
25.0,2.0,0.4,0.4,256.0,0.01,0.001,0.003449,-0.009025,-0.046908,0.288168,0.302519,0.280292,,,,0.04,19260817.0,False,25.0
25.0,2.0,1.0,0.4,64.0,0.01,0.001,0.00436,-0.008961,-0.047432,0.288036,0.30251,0.280362,,,,0.03,19260817.0,False,26.0
200.0,16.0,1.0,1.0,64.0,1.0,0.001,0.179418,0.001699,-0.043645,0.261491,0.300907,0.279854,,,,436.77,19260817.0,False,27.0
200.0,16.0,0.4,1.0,256.0,0.01,1.0,0.999992,-0.173734,-0.139159,0.000834,0.326277,0.29238,,,,4463.65,19260817.0,False,28.0
25.0,2.0,0.4,1.0,64.0,0.01,0.001,0.003402,-0.008723,-0.046762,0.288175,0.302474,0.280272,,,,0.13,19260817.0,False,29.0
200.0,16.0,0.4,0.4,64.0,0.01,0.001,0.302038,0.0128,-0.038643,0.241164,0.29923,0.279183,,,,945.93,19260817.0,False,30.0
200.0,2.0,1.0,1.0,256.0,0.01,1.0,0.999992,-0.320771,-0.523767,0.000834,0.346111,0.338154,,,,11.75,19260817.0,False,31.0
25.0,16.0,0.4,1.0,256.0,0.01,1.0,0.999992,-0.173734,-0.139159,0.000834,0.326277,0.29238,,,,1446.51,19260817.0,False,32.0
200.0,16.0,1.0,0.4,64.0,1.0,1.0,0.999992,0.04322,-0.191348,0.000834,0.294583,0.299003,,,,2944.06,19260817.0,False,33.0
25.0,16.0,0.4,1.0,64.0,0.01,1.0,0.999992,0.134803,0.028884,0.000834,0.28013,0.269955,,,,3497.56,19260817.0,False,34.0
25.0,2.0,1.0,1.0,64.0,1.0,0.001,0.004101,-0.008791,-0.047082,0.288074,0.302484,0.280315,,,,191.31,19260817.0,False,35.0
